Setting,gamma,variable,value
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.96894844991548
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.97150369416611
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.087562963173026
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.949991353700474
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.978375194649084
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.984447817035941
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.096420485904689
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.851063060505767
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.992925382590052
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.99611718265828
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.053308677242142
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.943020350431175
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.16193037994649
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.07720623409898
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.947762509530527
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.988788396103539
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.1379557220815855
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.989299124423073
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.145448495655254
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.067534157576745
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.078289812656365
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.035494187011815
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.958433059181624
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.139117511768681
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.979747998449586
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.049344684247769
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.971140450934541
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.088819984212506
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.156684614433779
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.073016813564163
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.041070255076887
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.143575168127662
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.982599979165494
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.879034410658785
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.731181703381134
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.9310083180121165
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.066588419906697
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.077774920090198
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.976196798439581
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.012572385370495
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.9870690133761375
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.7833521501458165
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.044503382809939
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.189994045845506
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.023136919892724
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.0379908593847915
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.990813946577484
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.895390127015167
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.114413196599486
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.045812628462848
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.044425413438271
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.883518106868312
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.022416626985056
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.989110060232488
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.794775297372377
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.070524766441688
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.958225908134114
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.160804145471871
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.0355143697443605
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.8161116864741835
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.561571542549693
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.478418360651215
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.511109695352625
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.55753580450687
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.601419267324077
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.637400604210725
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.681269313407217
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.726842516359604
"Transition: Hm
Reward: PC",0.95,proposed - overall,8.69426820468403
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.424271907833866
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.720669914178684
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.608425264417521
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.585895651902629
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.626303106125189
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.714388564880263
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.508234755100428
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.571827125546797
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.776094617463965
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.58082673574093
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.652589263675296
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.7020286292932
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.61334852983771
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.282303517705438
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.704814370430183
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.47597951594895
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.321966254875864
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.416120679513444
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.636025031987815
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.683899865420166
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.600365237983581
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.744402895271802
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.731283190892736
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.71859800884397
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.648782964422871
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.722669140249357
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.682046652289571
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.632724503845907
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.609229702140642
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.687886407150184
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.391591017853987
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.451581297970977
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.13208616749891
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.720485800379592
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.427431047802035
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.561377501098477
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.532897713251101
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.756632706646554
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.322994230369318
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.563987059657498
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.53007870453423
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.646818802247843
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.50090075850202
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.71313900878199
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.681785957439825
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.535630302729341
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.508954719637469
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.691586459921538
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.551895094287104
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.757211218016664
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.623853362687235
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.648885289292934
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.636021170344405
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.419484904005374
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.74961360285548
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.558801542479799
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.669311509342652
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.456667078701203
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.71743144700795
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.775569835078738
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.68447096311424
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.688806726581422
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.766341150971265
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.574877888393615
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.373429009601256
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.088457919841401
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.436182718721032
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.694225122472158
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.660449538541528
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.520739944912075
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.678400878754681
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.573914783761225
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.119128210933331
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.66454468014097
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.796538139823898
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.610776321106073
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.600317474073872
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.543245585804225
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.324028390669174
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.749422085496088
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.579878753218317
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.647226715130046
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.457165221531397
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.627120254847862
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.568008645038166
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.173801589493383
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.694386127892667
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.380049652080105
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.384001013257691
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.652453545137867
"Transition: Hm
Reward: PC",0.95,proposed - overall,9.12165426674947
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.0363898220612615
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.933557659529171
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.981444310382738
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.008986249404574
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.009856167463898
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.001151980411613
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.070242058243941
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.189096961377594
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.066669008420959
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.894196064715665
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.043669526920721
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.0603771269806685
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.94781267386725
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.871810061433235
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.079354297165841
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.794427496476381
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.0376441913700996
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.170758447114995
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.999588563119833
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.005381729939234
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.087711368018487
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.062490540732988
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.830660799626012
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.113463837861298
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.055541762412323
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.99387955331358
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.063686793859485
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.02004934842722
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.102180995125998
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.002441357692533
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.115046005573824
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.113900638475645
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.071341869855202
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.035289526973679
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.1073110687066805
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.116627620346459
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.0197330115847505
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.996325652883749
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.095870542657209
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.935073111187224
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.882090515681371
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.01767290171414
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.084845324542911
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.058000488851939
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.978375194649084
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.974821740461618
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.102311222802304
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.847737216029399
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.979091199942768
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.940942439407779
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.3607240609700595
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.779479817242081
"Transition: Hm
Reward: Sm",0.9,proposed - overall,3.454020986964113
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.005490732396794
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.600470946619144
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.002510533184683
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.995395000694092
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.9134322896446605
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.140532376669929
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.930014318732052
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.329143646477965
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.874889095214485
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.979069795772309
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.341011798061635
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.017591012101711
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.854955801449883
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.95247674422167
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.9825044911500775
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.146576751512768
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.917167083164765
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.997400017335266
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.942655421893296
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.155040350356498
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.884656149734776
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.762614505610606
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.75727664305589
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.101062575321627
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.100535183011462
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.520356328947332
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.923471301535056
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.257683217732481
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.591670621175478
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.977341554365363
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.162506409959349
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.117702554966913
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.967791771118534
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.130246305449507
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.890845389035871
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.634183967442517
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.860559900895257
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.989314292276223
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.883677239830087
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.652817802254384
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.822336586905664
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.794775297372377
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.937129366090398
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.929846365161797
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.872824067949354
"Transition: Hm
Reward: Sm",0.9,proposed - overall,4.747106318515996
"Transition: Hm
Reward: Sm",0.9,proposed - overall,5.126555846803092
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.38704446863484
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.563936277799238
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.458072958552602
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.08206771763978
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.724932178208611
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.633476037193095
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.052065408906358
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.72647878596624
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.57209032493949
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.406455499076973
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.010618753374718
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.561984398308333
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.592521196551424
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.09985476583807
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.099948794055257
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.26610003246515
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.057021220503223
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.78059804688938
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.42913503425094
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.658354167429566
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.25081677096858
"Transition: Hm
Reward: Sm",0.95,proposed - overall,7.850562746590672
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.32426284456448
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.372987035090553
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.133368818640811
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.500708005123009
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.411506016825491
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.18553798970079
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.567609418059458
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.474469006931162
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.266612573941597
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.13144790279135
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.090834249362427
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.652891496574135
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.603640014766679
"Transition: Hm
Reward: Sm",0.95,proposed - overall,5.7191071635853366
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.410533351545464
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.75220093014577
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.106455210338549
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.507047710357682
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.02549277166767
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.419291598216011
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.720354762675946
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.383935536628712
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.429076729576103
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.106574266720369
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.053042863728493
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.220889881924105
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.427630443417353
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.53007870453423
"Transition: Hm
Reward: Sm",0.95,proposed - overall,7.952481223399109
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.55177120406438
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.685553155277272
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.535265312442364
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.92194351814992
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.540162796404754
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.431437478063803
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.391967369508553
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.741811570280333
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.37453846761743
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.788645949959985
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.336486682918412
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.514653945344666
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.13651462232228
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.636460049546685
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.945653202235516
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.494424040327518
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.523697057915546
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.469039036779437
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.471743488018912
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.602073301072046
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.377814560208439
"Transition: Hm
Reward: Sm",0.95,proposed - overall,7.928385269592089
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.141205425110037
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.193089561089284
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.15536368258173
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.618092671541813
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.719001830341906
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.659037117783697
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.499324542501778
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.464869954981815
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.655959206452568
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.527789290224408
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.737965829798537
"Transition: Hm
Reward: Sm",0.95,proposed - overall,7.7583537432978575
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.45886772206609
"Transition: Hm
Reward: Sm",0.95,proposed - overall,7.851487382654442
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.310236473818996
"Transition: Hm
Reward: Sm",0.95,proposed - overall,8.759283935721598
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.244648009159391
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.647235723975736
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.457397816265608
"Transition: Hm
Reward: Sm",0.95,proposed - overall,9.084166182940647
