kappa,reject,method,gamma,setting
25,0.01,Normalised,0.95,"Transition: Homo
Reward: PC"
30,0.0,Normalised,0.95,"Transition: Homo
Reward: PC"
35,0.0,Normalised,0.95,"Transition: Homo
Reward: PC"
40,0.0,Normalised,0.95,"Transition: Homo
Reward: PC"
45,0.01,Normalised,0.95,"Transition: Homo
Reward: PC"
50,0.01,Normalised,0.95,"Transition: Homo
Reward: PC"
55,1.0,Normalised,0.95,"Transition: Homo
Reward: PC"
60,1.0,Normalised,0.95,"Transition: Homo
Reward: PC"
65,1.0,Normalised,0.95,"Transition: Homo
Reward: PC"
70,1.0,Normalised,0.95,"Transition: Homo
Reward: PC"
75,1.0,Normalised,0.95,"Transition: Homo
Reward: PC"
25,0.01,Unnormalised,0.95,"Transition: Homo
Reward: PC"
30,0.0,Unnormalised,0.95,"Transition: Homo
Reward: PC"
35,0.01,Unnormalised,0.95,"Transition: Homo
Reward: PC"
40,0.0,Unnormalised,0.95,"Transition: Homo
Reward: PC"
45,0.01,Unnormalised,0.95,"Transition: Homo
Reward: PC"
50,0.01,Unnormalised,0.95,"Transition: Homo
Reward: PC"
55,1.0,Unnormalised,0.95,"Transition: Homo
Reward: PC"
60,1.0,Unnormalised,0.95,"Transition: Homo
Reward: PC"
65,1.0,Unnormalised,0.95,"Transition: Homo
Reward: PC"
70,1.0,Unnormalised,0.95,"Transition: Homo
Reward: PC"
75,1.0,Unnormalised,0.95,"Transition: Homo
Reward: PC"
25,0.01,Integral,0.95,"Transition: Homo
Reward: PC"
30,0.0,Integral,0.95,"Transition: Homo
Reward: PC"
35,0.0,Integral,0.95,"Transition: Homo
Reward: PC"
40,0.0,Integral,0.95,"Transition: Homo
Reward: PC"
45,0.01,Integral,0.95,"Transition: Homo
Reward: PC"
50,0.01,Integral,0.95,"Transition: Homo
Reward: PC"
55,1.0,Integral,0.95,"Transition: Homo
Reward: PC"
60,1.0,Integral,0.95,"Transition: Homo
Reward: PC"
65,1.0,Integral,0.95,"Transition: Homo
Reward: PC"
70,1.0,Integral,0.95,"Transition: Homo
Reward: PC"
75,1.0,Integral,0.95,"Transition: Homo
Reward: PC"
25,0.01,Normalised,0.9,"Transition: Homo
Reward: Sm"
30,0.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
35,0.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
40,0.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
45,0.01,Normalised,0.9,"Transition: Homo
Reward: Sm"
50,0.01,Normalised,0.9,"Transition: Homo
Reward: Sm"
55,1.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
60,1.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
65,1.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
70,1.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
75,1.0,Normalised,0.9,"Transition: Homo
Reward: Sm"
25,0.01,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
30,0.0,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
35,0.01,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
40,0.01,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
45,0.01,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
50,0.01,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
55,1.0,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
60,1.0,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
65,1.0,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
70,1.0,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
75,1.0,Unnormalised,0.9,"Transition: Homo
Reward: Sm"
25,0.01,Integral,0.9,"Transition: Homo
Reward: Sm"
30,0.0,Integral,0.9,"Transition: Homo
Reward: Sm"
35,0.0,Integral,0.9,"Transition: Homo
Reward: Sm"
40,0.0,Integral,0.9,"Transition: Homo
Reward: Sm"
45,0.01,Integral,0.9,"Transition: Homo
Reward: Sm"
50,0.01,Integral,0.9,"Transition: Homo
Reward: Sm"
55,1.0,Integral,0.9,"Transition: Homo
Reward: Sm"
60,1.0,Integral,0.9,"Transition: Homo
Reward: Sm"
65,1.0,Integral,0.9,"Transition: Homo
Reward: Sm"
70,1.0,Integral,0.9,"Transition: Homo
Reward: Sm"
75,1.0,Integral,0.9,"Transition: Homo
Reward: Sm"
25,0.01,Normalised,0.95,"Transition: Homo
Reward: Sm"
30,0.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
35,0.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
40,0.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
45,0.01,Normalised,0.95,"Transition: Homo
Reward: Sm"
50,0.01,Normalised,0.95,"Transition: Homo
Reward: Sm"
55,1.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
60,1.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
65,1.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
70,1.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
75,1.0,Normalised,0.95,"Transition: Homo
Reward: Sm"
25,0.01,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
30,0.0,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
35,0.01,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
40,0.0,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
45,0.01,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
50,0.01,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
55,1.0,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
60,1.0,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
65,1.0,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
70,1.0,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
75,1.0,Unnormalised,0.95,"Transition: Homo
Reward: Sm"
25,0.01,Integral,0.95,"Transition: Homo
Reward: Sm"
30,0.0,Integral,0.95,"Transition: Homo
Reward: Sm"
35,0.0,Integral,0.95,"Transition: Homo
Reward: Sm"
40,0.0,Integral,0.95,"Transition: Homo
Reward: Sm"
45,0.01,Integral,0.95,"Transition: Homo
Reward: Sm"
50,0.01,Integral,0.95,"Transition: Homo
Reward: Sm"
55,1.0,Integral,0.95,"Transition: Homo
Reward: Sm"
60,1.0,Integral,0.95,"Transition: Homo
Reward: Sm"
65,1.0,Integral,0.95,"Transition: Homo
Reward: Sm"
70,1.0,Integral,0.95,"Transition: Homo
Reward: Sm"
75,1.0,Integral,0.95,"Transition: Homo
Reward: Sm"
25,0.01,Normalised,0.9,"Transition: PC
Reward: Homo"
30,0.0,Normalised,0.9,"Transition: PC
Reward: Homo"
35,0.0,Normalised,0.9,"Transition: PC
Reward: Homo"
40,0.01,Normalised,0.9,"Transition: PC
Reward: Homo"
45,0.0,Normalised,0.9,"Transition: PC
Reward: Homo"
50,0.0,Normalised,0.9,"Transition: PC
Reward: Homo"
55,1.0,Normalised,0.9,"Transition: PC
Reward: Homo"
60,1.0,Normalised,0.9,"Transition: PC
Reward: Homo"
65,1.0,Normalised,0.9,"Transition: PC
Reward: Homo"
70,1.0,Normalised,0.9,"Transition: PC
Reward: Homo"
75,1.0,Normalised,0.9,"Transition: PC
Reward: Homo"
25,0.01,Unnormalised,0.9,"Transition: PC
Reward: Homo"
30,0.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
35,0.01,Unnormalised,0.9,"Transition: PC
Reward: Homo"
40,0.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
45,0.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
50,0.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
55,1.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
60,1.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
65,1.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
70,1.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
75,1.0,Unnormalised,0.9,"Transition: PC
Reward: Homo"
25,0.01,Integral,0.9,"Transition: PC
Reward: Homo"
30,0.0,Integral,0.9,"Transition: PC
Reward: Homo"
35,0.01,Integral,0.9,"Transition: PC
Reward: Homo"
40,0.01,Integral,0.9,"Transition: PC
Reward: Homo"
45,0.0,Integral,0.9,"Transition: PC
Reward: Homo"
50,0.0,Integral,0.9,"Transition: PC
Reward: Homo"
55,1.0,Integral,0.9,"Transition: PC
Reward: Homo"
60,1.0,Integral,0.9,"Transition: PC
Reward: Homo"
65,1.0,Integral,0.9,"Transition: PC
Reward: Homo"
70,1.0,Integral,0.9,"Transition: PC
Reward: Homo"
75,1.0,Integral,0.9,"Transition: PC
Reward: Homo"
25,0.01,Normalised,0.95,"Transition: PC
Reward: Homo"
30,0.0,Normalised,0.95,"Transition: PC
Reward: Homo"
35,0.0,Normalised,0.95,"Transition: PC
Reward: Homo"
40,0.01,Normalised,0.95,"Transition: PC
Reward: Homo"
45,0.0,Normalised,0.95,"Transition: PC
Reward: Homo"
50,0.0,Normalised,0.95,"Transition: PC
Reward: Homo"
55,1.0,Normalised,0.95,"Transition: PC
Reward: Homo"
60,1.0,Normalised,0.95,"Transition: PC
Reward: Homo"
65,1.0,Normalised,0.95,"Transition: PC
Reward: Homo"
70,1.0,Normalised,0.95,"Transition: PC
Reward: Homo"
75,1.0,Normalised,0.95,"Transition: PC
Reward: Homo"
25,0.01,Unnormalised,0.95,"Transition: PC
Reward: Homo"
30,0.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
35,0.01,Unnormalised,0.95,"Transition: PC
Reward: Homo"
40,0.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
45,0.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
50,0.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
55,1.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
60,1.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
65,1.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
70,1.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
75,1.0,Unnormalised,0.95,"Transition: PC
Reward: Homo"
25,0.01,Integral,0.95,"Transition: PC
Reward: Homo"
30,0.0,Integral,0.95,"Transition: PC
Reward: Homo"
35,0.01,Integral,0.95,"Transition: PC
Reward: Homo"
40,0.0,Integral,0.95,"Transition: PC
Reward: Homo"
45,0.0,Integral,0.95,"Transition: PC
Reward: Homo"
50,0.0,Integral,0.95,"Transition: PC
Reward: Homo"
55,1.0,Integral,0.95,"Transition: PC
Reward: Homo"
60,1.0,Integral,0.95,"Transition: PC
Reward: Homo"
65,1.0,Integral,0.95,"Transition: PC
Reward: Homo"
70,1.0,Integral,0.95,"Transition: PC
Reward: Homo"
75,1.0,Integral,0.95,"Transition: PC
Reward: Homo"
25,0.01,Normalised,0.9,"Transition: Sm
Reward: Homo"
30,0.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
35,0.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
40,0.01,Normalised,0.9,"Transition: Sm
Reward: Homo"
45,0.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
50,0.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
55,0.56,Normalised,0.9,"Transition: Sm
Reward: Homo"
60,1.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
65,1.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
70,1.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
75,1.0,Normalised,0.9,"Transition: Sm
Reward: Homo"
25,0.01,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
30,0.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
35,0.01,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
40,0.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
45,0.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
50,0.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
55,0.68,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
60,1.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
65,1.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
70,1.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
75,1.0,Unnormalised,0.9,"Transition: Sm
Reward: Homo"
25,0.01,Integral,0.9,"Transition: Sm
Reward: Homo"
30,0.0,Integral,0.9,"Transition: Sm
Reward: Homo"
35,0.01,Integral,0.9,"Transition: Sm
Reward: Homo"
40,0.01,Integral,0.9,"Transition: Sm
Reward: Homo"
45,0.0,Integral,0.9,"Transition: Sm
Reward: Homo"
50,0.0,Integral,0.9,"Transition: Sm
Reward: Homo"
55,0.59,Integral,0.9,"Transition: Sm
Reward: Homo"
60,1.0,Integral,0.9,"Transition: Sm
Reward: Homo"
65,1.0,Integral,0.9,"Transition: Sm
Reward: Homo"
70,1.0,Integral,0.9,"Transition: Sm
Reward: Homo"
75,1.0,Integral,0.9,"Transition: Sm
Reward: Homo"
25,0.01,Normalised,0.95,"Transition: Sm
Reward: Homo"
30,0.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
35,0.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
40,0.01,Normalised,0.95,"Transition: Sm
Reward: Homo"
45,0.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
50,0.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
55,0.54,Normalised,0.95,"Transition: Sm
Reward: Homo"
60,1.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
65,1.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
70,1.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
75,1.0,Normalised,0.95,"Transition: Sm
Reward: Homo"
25,0.01,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
30,0.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
35,0.01,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
40,0.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
45,0.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
50,0.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
55,0.68,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
60,1.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
65,1.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
70,1.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
75,1.0,Unnormalised,0.95,"Transition: Sm
Reward: Homo"
25,0.01,Integral,0.95,"Transition: Sm
Reward: Homo"
30,0.0,Integral,0.95,"Transition: Sm
Reward: Homo"
35,0.01,Integral,0.95,"Transition: Sm
Reward: Homo"
40,0.0,Integral,0.95,"Transition: Sm
Reward: Homo"
45,0.0,Integral,0.95,"Transition: Sm
Reward: Homo"
50,0.0,Integral,0.95,"Transition: Sm
Reward: Homo"
55,0.62,Integral,0.95,"Transition: Sm
Reward: Homo"
60,1.0,Integral,0.95,"Transition: Sm
Reward: Homo"
65,1.0,Integral,0.95,"Transition: Sm
Reward: Homo"
70,1.0,Integral,0.95,"Transition: Sm
Reward: Homo"
75,1.0,Integral,0.95,"Transition: Sm
Reward: Homo"
